Sno	en	de	ta
15	Hans eats apples and Peter eats pears	Hans ißt Äpfel und Birnen ißt Peter	செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார் 
16	Hans eats apples and Peter eats apples	Hans ißt Äpfel und Peter ißt Äpfel	செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் மாங்காய்கள் சாப்பிடுகிறார் 
17	Hans eats apples and Peter eats in the car	Hans ißt Äpfel und Peter ißt im Auto	செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் காரின் உள்ளே சாப்பிடுகிறார் 
18	Mari buys pears and Jüri buys at the market	Mari kauft Birnen und Jüri kauft auf dem Markt	லதா நெல்லிக்காய்கள் வாங்கினார் மற்றும் பவித்ரா சந்தையில் வாங்கினார்
19	Hans rarely sleeps and Peter sleeps in the car	Hans schläft selten und Peter schläft im Auto	செந்தில் அரிதாக தூங்குகிறார் மற்றும் ராஜேஷ் காரின் உள்ளே தூங்குகிறார்
20	Jüri lives in Tartu and his sons live in Tallinn	Jüri lebt in Tartu und seine Söhne leben in Tallin	பவித்ரா சென்னையில் வாழ்கிறார் மற்றும் அவரது மகன்கள் கோவையில் வாழ்கிறார்கள்  
21	My sister lives in Narva and my brothers live in Narva	Meine Schwester lebt in Narva und meine Brüder leben in Narva	எனது சகோதிரி சேலத்தில் வாழ்கிறார் மற்றும் எனது சகோதிரர்கள் சேலத்தில் வாழ்கிறார்கள்
22	I hope Hans sleeps and you hope Peter sleeps	Ich hoffe Hans schläft und du hoffst Peter schläft	செந்தில் தூங்குகிறார் என்று நான் நம்புகிறேன் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீ நம்புகிறாய் 
23	I hope that Hans sleeps and you hope that Peter sleeps	Ich hoffe dass Hans schläft und du hoffst dass Peter schläft	செந்தில் தூங்குகிறார் என்று நான் நம்புகிறேன் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீ நம்புகிறாய் 
24	Today Hans should clean his car and today Susi should clean her bike	Heute soll Hans sein Auto putzen und heute soll Susi ihr Fahrrad putzen	இன்று செந்தில் கட்டாயம் அவனுடைய காரை சுத்தம் செய்ய வேண்டும் மற்றும் இன்று பூங்கோதை கட்டாயம் அவளுடைய வண்டியை சுத்தம் செய்ய வேண்டும்
25	Today Hans should clean cars and especially Hans should clean cars today until midnight.	Heute soll Hans Autos putzen und zwar soll Hans heute Autos putzen bis Mitternacht	இன்று செந்தில் கார்களை கட்டாயம் சுத்தம் செய்ய வேண்டும் மற்றும் செந்தில் இன்று நள்ளிரவு வரை கட்டாயம் கார்கள் சுத்தம் செய்ய வேண்டும்
26	I like apples and I eat apples often	Äpfel mag ich und Äpfel esse ich oft	எனக்கு ஆப்பிள்கள் பிடிக்கும் மற்றும் அடிக்கடி நான் ஆப்பிள்கள் சாப்பிடுகிறேன் 
27	I like apples and I eat apples	Äpfel mag ich und Äpfel esse ich	எனக்கு ஆப்பிள்கள் பிடிக்கும் மற்றும் நான் ஆப்பிள்கள் சாப்பிடுகிறேன் 
28	Hans steals bicycles and Hans sells bicycles	Hans stiehlt Fahrräder und Hans verkauft Fahrräder	செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும் செந்தில் மிதிவண்டிகள் விற்கிறார்
29	Susi heard that Hans steals bicycles and that Hans sells bicycles	Susi hörte dass Hans Fahrräder stiehlt und dass Hans Fahrräder verkauft	செந்தில் மிதிவண்டிகள் திருடுகிறார் மற்றும் செந்தில் மிதிவண்டிகள் விற்கிறார் என்று கவிதா கேள்விப்பட்டார்
30	Susi heard that Jan repaired his bike efficiently and that Jan cleaned his bike diligently	Susi hörte dass Jan sein Fahrrad fachkundig reparierte und dass Jan sein Fahrrad eifrig putzte	ராஜேஷ் திறமையாக தனது மிதிவண்டியை பழுதுபார்க்கிறார் மற்றும் ராஜேஷ் தீவிரமாக தனது மிதிவண்டியை சுத்தம் செய்கிறார் என்று கவிதா  கேள்விப்பட்டார்
31	Susi heard that Jan efficiently repaired his bike and that Jan diligently cleaned his bike	Susi hörte dass Jan fachkundig sein Fahrrad reparierte und dass Jan eifrig sein Fahrrad putzte	ராஜேஷ் திறமையாக தனது மிதிவண்டியை பழுதுபார்க்கிறார் மற்றும் ராஜேஷ் தீவிரமாக தனது மிதிவண்டியை சுத்தம் செய்கிறார் என்று கவிதா  கேள்விப்பட்டார்
32	Jan efficiently repaired his bike and that Jan diligently cleaned his bike	Jan reparierte sein Fahrrad fachkundig und Jan putzte sein Fahrrad eifrig	செந்தில் திறமையாக தனது மிதிவண்டியை பழுதுபார்க்கிறார் மற்றும் செந்தில் தீவிரமாக தனது மிதிவண்டியை சுத்தம் செய்கிறார்
33	Susi heard that Hans often steals bicycles and that Hans often sells bicycles	Susi hörte dass Hans oft Fahrräder stiehlt und dass Hans oft Fahrräder verkauft	செந்தில் அடிக்கடி மிதிவண்டிகள் திருடுகிறார் மற்றும் செந்தில் அடிக்கடி மிதிவண்டிகளை விற்கிறார் என்று கவிதா  கேள்விப்பட்டார்
34	Susi heard that Hans often steals bicycles and that Hans rarely sells bicycles	Susi hörte dass Hans oft Fahrräder stiehlt und dass Hans selten Fahrräder verkauft	செந்தில் அடிக்கடி மிதிவண்டிகள் திருடுகிறார் மற்றும் செந்தில் அரிதாக மிதிவண்டிகளை விற்கிறார் என்று கவிதா  கேள்விப்பட்டார்
35	Hans tries to steal cars and Peter tries to sell bicycles	Hans versuchte Autos zu stehlen und Peter versuchte Fahrräder zu verkaufen	செந்தில் கார்கள் திருட முயற்சிக்கிறார் மற்றும் செந்தில் மிதிவண்டிகள் விற்க முயற்சிக்கிறார்
36	Hans tries to steal cars and Peter tries to steal bicycles	Hans versuchte Autos zu stehlen und Peter versuchte Fahrräder zu stehlen	செந்தில் கார்கள் திருட முயற்சிக்கிறார் மற்றும் ராஜேஷ் மிதிவண்டிகள் திருட முயற்சிக்கிறார்
37	Hans tried to steal cars and Peter tried to steal bicycles	Hans hat versucht Autos zu stehlen und Peter hat versucht Fahrräder zu stehlen	செந்தில் கார்கள் திருட முயற்சிக்கிறார் மற்றும் ராஜேஷ் மிதிவண்டிகள் திருட முயற்சிக்கிறார்
38	I sing while Hans sleeps and you sing while Peter sleeps	Ich singe während Hans schläft und du singst während Peter schläft	செந்தில் தூங்கும் போது நான் பாடுகிறேன் மற்றும் ராஜேஷ் தூங்கும் போது நீ பாடுகிறாய்
39	I sing while Hans sleeps and you sing while Hans sleeps	Ich singe während Hans schläft und du singst während Hans schläft	செந்தில் தூங்கும் போது நான் பாடுகிறேன் மற்றும் செந்தில் தூங்கும் போது நீ பாடுகிறாய்
40	I see Hans sleeping in the car and you see Peter sleeping on the bus	Ich sehe Hans der schläft im Auto und du siehst Peter der schläft im Bus	செந்தில் காரின் உள்ளே தூங்கிக்கொண்டிருப்பதை நான் காண்கிறேன் மற்றும் ராஜேஷ் பஸ்ஸில் தூங்கிக்கொண்டிருப்பதை நீ  காண்கிறாய்
41	I see Hans sleeping in the car and you see Hans sleeping in the car	Ich sehe Hans der schläft im Auto und du siehst Hans der schläft im Auto	செந்தில் காரின் உள்ளே தூங்கிக்கொண்டிருப்பதை நான் காண்கிறேன் மற்றும் செந்தில் காரில் தூங்கிக்கொண்டிருப்பதை நீ  காண்கிறாய்
42	I see Hans sleeping in the car and you see Hans sleeping on the bus	Ich sehe Hans der schläft im Auto und du siehst Hans der schläft im Bus	செந்தில் காரின் உள்ளே தூங்கிக்கொண்டிருப்பதை நான் காண்கிறேன் மற்றும் செந்தில் பஸ்ஸில் தூங்கிக்கொண்டிருப்பதை நீ  காண்கிறாய்
43	I see Hans sleeping in the car and Hans sleeping on the bus	Ich sehe Hans der im Auto schläft und Hans der im Bus schläft	செந்தில் காரின் உள்ளே தூங்கிக்கொண்டிருப்பதை நான் காண்கிறேன் மற்றும் செந்தில் பஸ்ஸில்  தூங்குகிறார் 
44	I hope that Hans sleeps and that Peter sleeps	Ich hoffe dass Hans schläft und dass Peter schläft	செந்தில் தூங்குகிறார் என்றும் ராஜேஷ் தூங்குகிறார் என்றும் நான் நம்புகிறேன் 
45	I want to hope that Hans sleeps and you want to hope that Peter sleeps	Ich will hoffen dass Hans schläft und du willst hoffen dass Peter schläft	செந்தில் தூங்குகிறார் என்று நான் நம்ப விரும்புகிறேன் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீ நம்ப விரும்புகிறாய்
46	that Hans eats apples and that Maria eats pears Everyone knows and that Peter drinks wine and that Susi drinks beer  nobody knows	Dass Hans Äpfel ißt und dass Maria Birnen ißt weiss jeder und dass Peter Wein trinkt und dass Susi Bier trinkt weiss keiner	செந்தில் மாங்காய் சாப்பிடுகிறார் என்றும் லதா நெல்லிக்காய் சாப்பிடுகிறாள் என்றும் அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் ராஜேஷ் மது குடிக்கிறார் என்றும் சுதா பீர் குடிக்கிறார் என்றும் யாரும் அறியவில்லை 
47	that Hans eats apples Everyone knows and that Hans eats pears nobody knows	Dass Hans Äpfel ißt weiss jeder und dass Hans Birnen ißt weiss keiner	செந்தில் மாங்காய்கள் சாப்பிடுகிறார் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் செந்தில் நெல்லிக்காய்கள் சாப்பிடுகிறார் என்று யாரும் அறியவில்லை 
48	Nobody knows that Hans wants to eat apples and that Maria knows how to eat pears and that Peter wants to drink wine and wants to drink Susi Biert	Dass Hans Äpfel essen will und dass Maria Birnen essen will weiss jeder und dass Peter Wein trinken will und dass Susi Bier trinken will weiss keiner	செந்தில் மாங்காய்கள் சாப்பிட விரும்புகிறார் என்றும் லதா நெல்லிக்காய்கள் சாப்பிட விரும்புகிறார் என்றும் அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் ராஜேஷ் மது குடிக்க விரும்புகிறார் என்றும் சுதா பீர் குடிக்க விரும்புகிறார் என்றும் யாரும் அறியவில்லை 
49	that Hans had an accident and that Hans could die Susi heard 	Dass Hans einen Unfall hatte und dass Hans sterben könnte hörte Susi	செந்தில் ஒரு விபத்துக்குள்ளாகிறார் என்றும் அதனால் செந்தில் இறக்கக்கூடும் என்று சுதா கேள்விப்பட்டார் 
50	Susi heard that Hans had an accident and that Hans could die	Susi hörte dass Hans einen Unfall hatte und dass Hans sterben könnte	சுதா கேள்விப்பட்டது என்னவென்றால் செந்தில் ஒரு விபத்துக்குள்ளாகிறார் என்றும் அதனால் செந்தில் இறக்கக்கூடும் என்று
51	Susi heard that Hans was lucky and that Peter was unlucky	Susi hörte dass Hans Glück gehabt hat und dass Peter Pech gehabt hat	சுதா கேள்விப்பட்டது என்னவென்றால் செந்தில் அதிர்ஷ்டசாலி என்று மற்றும் ராஜேஷ் துரதிர்ஷ்டசாலி என்று
52	Hans peels apples in the car and Peter eats apples in the car	Hans schält Äpfel im Auto und Peter ißt Äpfel im Auto	செந்தில் காரில் மாங்காய்கள் உரிக்கிறார் மற்றும் ராஜேஷ் காரில் மாங்காய்கள் சாப்பிடுகிறார்
53	I hope Hans eats apples and Peter eats pears	Ich hoffe Hans ißt Äpfel und Peter ißt Birnen	செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார் என்று நான் நம்புகிறேன்
54	I hope Hans eats and Peter eats	Ich hoffe Hans ißt und Peter ißt	செந்தில் சாப்பிடுகிறார் மற்றும் ராஜேஷ் சாப்பிடுகிறார் என்று நான் நம்புகிறேன்
55	I hope that Hans can eat apples and that Peter can eat pears	Ich hoffe dass Hans Äpfel essen kann und dass Peter Birnen essen kann	செந்தில் மாங்காய்கள் சாப்பிடலாம் என்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடலாம் என்று நான் நம்புகிறேன்
56	I hope Hans eats apples and Peter eats pears and you hope Michael eats apples and Robert eats pears	Ich hoffe Hans ißt Äpfel und Peter ißt Birnen und du hoffst Michael ißt Äpfel und Robert ißt Birnen	செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார் என்று நான் நம்புகிறேன் மற்றும் சுந்தர் பப்பாளிகள் சாப்பிடுகிறார் மற்றும் அரவிந்த் பேரிச்சம்பழங்கள் சாப்பிடுகிறார் என்று நீ நம்புகிறாய்
57	Jan repaired his bike and Peter cleaned his bike	Jan reparierte sein Fahrrad und Peter putzte sein Fahrrad	செந்தில் அவரது மிதிவண்டியை சரிபார்த்தார் மற்றும் ராஜேஷ் அவரது மிதிவண்டியை சுத்தம் செய்தார்
58	Susi heard that Jan repaired his bike and that Peter cleaned his bike	Susi hörte dass Jan sein Fahrrad reparierte und dass Peter sein Fahrrad putzte	செந்தில் அவரது மிதிவண்டியை சரிபார்த்தார் மற்றும் ராஜேஷ் அவரது மிதிவண்டியை சுத்தம் செய்தார் என்று சுதா கேள்விப்பட்டார்
59	Jan repaired his new bike and his brothers cleaned their old bikes	Jan reparierte sein neues Fahrrad und seine Brüder putzten ihre alten Fahrräder	செந்தில் அவரது புது மிதிவண்டியை சரிபார்த்தார் மற்றும் அவரது சகோதிரர்கள் அவரது பழைய மிதிவண்டிகளை சுத்தம் செய்தார்கள்
60	Hans sleeps in the car and Peter works in the car	Hans schläft im Auto und Peter arbeitet im Auto	செந்தில் காரில் தூங்குகிறார் மற்றும் ராஜேஷ் காரில் வேலைபார்க்கிறார் 
61	Hans sleeps in the car and Peter sleeps in the car	Hans schläft im Auto und Peter schläft im Auto	செந்தில் காரில் தூங்குகிறார் மற்றும் ராஜேஷ் காரில் தூங்குகிறார் 
62	Hans works in the car and Peter works in the car	Hans arbeitet im Auto und Peter arbeitet am Auto	செந்தில் காரில் வேலைபார்க்கிறார் மற்றும் ராஜேஷ் காரில் வேலைபார்க்கிறார் 
63	Hans always sleeps in the car and Peter sometimes works in the car	Hans schläft immer im Auto und Peter arbeitet manchmal im Auto	செந்தில் காரில் எப்போதும் தூங்குகிறார் மற்றும் ராஜேஷ் காரில் சில சமயங்களில் வேலைபார்க்கிறார் 
64	Hans always sleeps in the car and Peter sometimes works in the car with Maria	Hans schläft immer im Auto und Peter arbeitet manchmal im Auto mit Maria	செந்தில் காரில் எப்போதும் தூங்குகிறார் மற்றும் ராஜேஷ் காரில் சில சமயங்களில் லதாவுடன் வேலைபார்க்கிறார் 
65	Hans always sings in the car for Susi and Peter sometimes composes in the car for Maria	Hans singt immer im Auto für Susi und Peter komponiert manchmal im Auto für Maria	செந்தில் காரில் எப்போதும் சுதாவுக்காக பாடுகிறார் மற்றும் ராஜேஷ் காரில் சில சமயங்களில் லதாவுக்காக இசையமைக்கிறார் 
66	Hans always composes in the car for Maria and Peter sometimes composes in the car for Maria	Hans komponiert immer im Auto für Maria und Peter komponiert manchmal im Auto für Maria	செந்தில் காரில் எப்போதும் சுதாவுக்காக இசையமைக்கிறார் மற்றும் ராஜேஷ் காரில் சில சமயங்களில் லதாவுக்காக இசையமைக்கிறார் 
67	Hans eats and Hans drinks	Hans ißt und Hans trinkt	செந்தில் சாப்பிடுகிறார் மற்றும் செந்தில் குடிக்கிறார் 
68	Hans eats today and Hans drinks tomorrow	Heute ißt Hans und morgen trinkt Hans	செந்தில் இன்று சாப்பிடுகிறார் மற்றும் நாளை செந்தில் குடிக்கிறார் 
69	Today Hans eats and today Hans drinks	Heute ißt Hans und heute trinkt Hans	செந்தில் இன்று சாப்பிடுகிறார் மற்றும் இன்று செந்தில் குடிக்கிறார் 
70	Hans wants to sleep today and Hans wants to sleep tomorrow	Hans will heute schlafen und Hans will morgen schlafen	செந்தில் இன்று தூங்க விரும்புகிறார் மற்றும் செந்தில் நாளை தூங்க விரும்புகிறார்
71	Hans from Berlin can arrive today and Hans from Berlin can leave tomorrow	Hans aus Berlin kann heute ankommen und Hans aus Berlin kann morgen abreisen	சென்னையில் இருந்து செந்தில் இன்று வர முடியும் மற்றும் சென்னையில் இருந்து செந்தில் நாளை வெளியேற முடியும்
72	Hans from Berlin wants to arrive today and Hans from Hamburg wants to leave tomorrow	Hans aus Berlin will heute ankommen und Hans aus Hamburg will morgen abreisen	சென்னைக்காரரான செந்தில் இன்று வர விரும்புகிறார் மற்றும் சேலத்துக்காரரான செந்தில் நாளை வெளியேற விரும்புகிறார்
73	Tomorrow Peter celebrates with friends and Peter sleeps alone today	Morgen feiert Peter mit Freunden und Peter schläft heute allein	நாளை செந்தில் நண்பர்களுடன் கொண்டாடுகிறார் மற்றும் செந்தில் இன்று தனியாக தூங்குகிறார் 
74	The hunter went into the forest and the hunter shot a hare	In den Wald ging der Jäger und der Jäger schoss einen Hasen	வேட்டையாடி காட்டுக்குள் சென்றார் மற்றும் வேட்டையாடி ஒரு முயலை சுட்டார் 
75	I do not drink this wine any more and I pour this wine away	Diesen Wein trinke ich nicht mehr und diesen Wein giesse ich weg	நான் இனி இந்த மதுவை குடிப்பதில்லை மற்றும் நான் இந்த மதுவை வெளியே வீசியெறிவேன் 
76	He wants to pass the exam and he can pass the exam	Das Examen bestehen will er und das Examen bestehen kann er	அவர் தேர்வில் தேர்ச்சி பெற விரும்புகிறார் மற்றும் அவரால் தேர்வில் தேர்ச்சி பெற முடியும்
77	Yesterday you left and yesterday you did not say anything	Gestern bist du gegangen und gestern hast du nichts gesagt	நேற்று நீ வெளியேறினாய் மற்றும் நேற்று நீ எதுவும் பேசவில்லை 
78	Why did you leave and why did not you say anything	Warum bist du gegangen und warum hast du nichts gesagt	ஏன் நீ வெளியேறினாய் மற்றும் ஏன் நீ எதுவும் பேசவில்லை
79	Are People still standing in front of the house and  are people shouting slogans	Stehen die Leute noch immer vor dem Haus und rufen die Leute Parolen?	இன்னுமா மக்கள் வீட்டின் முன் நின்று கொண்டு இருக்கிறார்கள் மற்றும் மக்கள் கூச்சல் போட்டு கொண்டு இருக்கிறார்கள் 
80	Yesterday you left and yesterday you did not warn me	Gestern bist du gegangen und gestern hast du mich nicht gewarnt	நேற்று நீ சென்றாய் மற்றும் நேற்று நீ என்னை எச்சரிக்கவில்லை
81	Peter celebrates tomorrow with friends and tomorrow Peter is sleeping alone	Morgen feiert Peter mit Freunden und morgen schläft Peter allein	நாளை செந்தில் நண்பர்களுடன் கொண்டாடுகிறார் மற்றும் செந்தில் நாளை தனியாக தூங்குகிறார்
82	Peter celebrates tomorrow with friends and Peter sleeps today without friends	Morgen feiert Peter mit Freunden und Peter schläft heute ohne Freunde	நாளை செந்தில் நண்பர்களுடன் கொண்டாடுகிறார் மற்றும் செந்தில் இன்று நண்பர்களுடன் இல்லாமல் தூங்குகிறார்
83	Hans eats the soup and Hans lies down	Die Suppe ißt Hans und Hans legt sich hin	செந்தில் சூப் சாப்பிடுகிறார் மற்றும் செந்தில் கீழே படுக்கிறார் 
84	Hans wants to eat the soup and Hans wants to lie down	Die Suppe möchte Hans essen und Hans möchte sich hinlegen	செந்தில் சூப் சாப்பிட விரும்பிகிறார் மற்றும் செந்தில் கீழே படுக்க விரும்புகிறார் 
85	Hans wants to eat the soup and wants to Hans lie down	Die Suppe möchte Hans essen und sich möchte Hans hinlegen	செந்தில் சூப் சாப்பிட விரும்பிகிறார் மற்றும் செந்தில் கீழே படுக்க விரும்புகிறார் 
86	Hans wants to try eat The soup and Hans tries to lie down	Die Suppe möchte Hans zu essen versuchen und Hans möchte sich hinzulegen versuchen	செந்தில் சூப் சாப்பிட முயற்சிக்க விரும்பிகிறார் மற்றும் செந்தில் கீழே படுக்க முயற்சிக்க விரும்புகிறார் 
87	Hans wants to try eat the soup and and Hans wants to try drink the beer	Die Suppe möchte Hans zu essen versuchen und Hans möchte das Bier zu trinken versuchen	செந்தில் சூப் சாப்பிட முயற்சிக்க விரும்பிகிறார் மற்றும் செந்தில் பீர் குடிக்க முயற்சிக்க விரும்புகிறார் 
88	Hans wants to try eat the soup and and Hans wants the beer to try drink 	Die Suppe möchte Hans zu essen versuchen und Hans möchte das Bier versuchen zu trinken	செந்தில் சூப் சாப்பிட முயற்சிக்க விரும்பிகிறார் மற்றும் செந்தில் பீர் குடிக்க முயற்சிக்க விரும்புகிறார் 
89	Caesar came and Caesar saw and Caesar won	Caesar kam und Caesar sah und Caesar siegte	சோழர் வந்தார் மற்றும் சோழர் பார்த்தார் மற்றும் சோழர் வென்றார்
90	Caesar came and Caesar saw and Caesar fought and Caesar won	Caesar kam und Caesar sah und Caesar kämpfte und Caesar siegte	சோழர் வந்தார் மற்றும் சோழர் பார்த்தார் மற்றும் சோழர் போரிட்டார் மற்றும் சோழர் வென்றார்
91	Caesar came and Caesar saw and Caesar fought and Caesar lost and Caesar disappeared	Caesar kam und Caesar sah und Caesar kämpfte und Caesar verlor und Caesar verschwand	சோழர் வந்தார் மற்றும் சோழர் பார்த்தார் மற்றும் சோழர் போரிட்டார் மற்றும் சோழர் தோற்றார் மற்றும் சோழர் மறைந்தார்
92	Caesar came and Titus saw and Titus won	Caesar kam und Titus sah und Titus siegte	சோழர் வந்தார் மற்றும் சேரர் பார்த்தார் மற்றும் சேரர் வென்றார்
93	Caesar came and Titus came and Titus won	Caesar kam und Titus kam und Titus siegte	சோழர் வந்தார் மற்றும் சேரர் வந்தார் மற்றும் சேரர் வென்றார்
94	Hans wants to sleep and Hans wants to dream and Hans wants to wake up	Hans will schlafen und Hans will träumen und Hans will aufwachen	செந்தில் தூங்க விரும்புகிறார், செந்தில் கனவு காண விரும்புகிறார், செந்தில் எழுந்திருக்க விரும்புகிறார்
95	the little Hans and the big Hans sleep	Der kleine Hans und der grosse Hans schlafen	பெரிய செந்தில் மற்றும் சிறிய செந்தில் தூங்குகிறார்கள் 
96	With beer and sausages and potato salad, Hans grills with Maria in front of the house and next to the house and behind the house	Mit Bier und mit Würstchen und mit Kartoffelsalat grillt Hans mit Maria vor dem Haus und neben dem Haus und hinter dem Haus	பீர் மற்றும் இறைச்சி மற்றும் உருளைக்கிழங்கு சாலட் கொண்டு, செந்தில் சுதாவுடன் வீட்டின் முன் மற்றும் வீட்டின் அருகே மற்றும் வீட்டின் பின்னால் வாட்டுகிறார்
97	I hope that Hans sleeps and you hope that Hans sleeps	Ich hoffe dass Hans schläft und du hoffst dass Hans schläft	செந்தில் தூங்குகிறான் என்று நான் நம்புகிறேன் மற்றும் செந்தில் தூங்குகிறான் என்று நீ நம்புகிறாய்
98	Jan fixed his bike and Jan cleaned his bike	Jan reparierte sein Fahrrad und Jan putzte sein Fahrrad	செந்தில் தனது மிதிவண்டியை பழுதுபார்த்தார் மற்றும் செந்தில் தனது மிதிவண்டியை சுத்தம் செய்தார்
